Installation Name,Buildings Owned  ,Structures Owned  , CITY , STATE
179TH AIRLIFT WING OHIO ANG,32,45,Mansfield,Ohio
ABRAHAM LINCOLN CAPITAL AIRPORT,28,28, Springfield  ,Illinois
ACC AMIC,3,0, Multiple Cities  ,Multiple States
AIR FORCE PLANT 42,346,189, Multiple Cities  ,Multiple States
AIR NATIONAL GUARD BASE,44,40, Tulsa  ,Oklahoma
ALPENA CO REG APT,96,80, Alpena ,Michigan
ALTUS AIR FORCE BASE,152,166, Altus  ,Oklahoma
ANDREWS AIR FORCE BASE,354,217, Brandywine ,Maryland
ARNOLD,329,377, Arnold  ,Tennessee 
ATLANTIC CITY IAP,44,45, Egg Harbor Township ,New Jersey 
BANGOR IAP,46,49, Bangor ,Maine 
BARKSDALE AIR FORCE BASE,337,390, Barksdale AFB  ,Louisiana 
BARNES MAP (ANG),43,34, Westfield  ,Massachusetts
BEALE AF BASE,234,291, McClellan  ,California 
BIRMINGHAM INTERNATIONAL AIRPORT,37,33, Birmingham ,Alabama
BOISE AIR TERML,162,121, Boise ,Idaho
BRADLEY IAP,34,40, East granby ,Connecticut
BUCKLEY AFB,207,359, Aurora ,Colorado 
BURLINGTON INTERNATIONAL AIRPORT,35,44, South Burlington  ,Vermont 
BYRD FIELD,4,1, Richmond  ,Virginia
CAMP MABRY,4,3, Camp Mabry ,Texas 
CAMP MURRAY AGS,26,33, Tacoma  ,Washington 
CAMP PENDLETON ANG,11,16, Virginia Beach  ,Virginia
CAMP PERRY ANG,14,24, Port Clinton  ,Ohio
CANNON AIR FORCE BASE,248,468, Cannon AFB  ,New Mexico
CARSWELL AIR RESERVE STATION,33,27, Fort Worth  ,Texas 
CHANNEL ISLANDS ANG STATION,20,46, Port Hueneme ,California 
CHARLESTON AFB,659,605, Goose Creek  ,South Carolina 
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,69,62, Charlotte  ,North Carolina 
CHEYENNE MOUNTAIN AFS,56,71, Colorado Springs  ,Colorado 
CHEYENNE REGIONAL APT,35,13, Cheyenne  ,Wyoming 
CLEAR AIR FORCE STATION,44,55, Clear AFB  ,Alaska 
COLUMBUS,183,196, Columbus AFB  ,Mississippi 
DAVIS MONTHAN AFB,494,477, Davis Monthan AFB  ,Arizona
DES MOINES INTERNATIONAL AIRPORT,30,36, Des Moines  ,Iowa 
